1,David1,61,15071237401
2,David2,91,15071237402
3,David3,100,15071237403
4,David4,76,15071237404
5,David5,80,15071237405
6,David6,97,15071237406
7,David7,90,15071237407
8,David8,88,15071237408
9,David9,89,15071237409
10,David10,65,15071237410
11,David11,82,15071237411
12,David12,76,15071237412
13,David13,86,15071237413
14,David14,68,15071237414
15,David15,89,15071237415
16,David16,90,15071237416
17,David17,67,15071237417
18,David18,87,15071237418
19,David19,69,15071237419
20,David20,92,15071237420
21,David21,86,15071237421
22,David22,81,15071237422
23,David23,63,15071237423
24,David24,84,15071237424
25,David25,90,15071237425
26,David26,63,15071237426
27,David27,83,15071237427
28,David28,75,15071237428
29,David29,94,15071237429
30,David30,86,15071237430
31,David31,97,15071237431
32,David32,77,15071237432
33,David33,85,15071237433
34,David34,95,15071237434
35,David35,65,15071237435
36,David36,60,15071237436
37,David37,77,15071237437
38,David38,91,15071237438
39,David39,69,15071237439
40,David40,94,15071237440
41,David41,62,15071237441
42,David42,79,15071237442
43,David43,75,15071237443
44,David44,95,15071237444
45,David45,74,15071237445
46,David46,66,15071237446
47,David47,79,15071237447
48,David48,69,15071237448
49,David49,79,15071237449
